timestamp;timestamp_sample;time_utc_usec;device_id;lat;lon;alt;alt_ellipsoid;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;vel_ned_valid;satellites_used;selected_rtcm_instance
686989992;0;1,68216E+15;11141125;469475004;87125137;1567216;1614534;0.078;0.023669807;0.30600002;0.573;0.56;0.91999996;61;4;3.7340002;-2.687;-2.594;-0.289;3.907425;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
687495180;0;1,68216E+15;11141125;469474869;87124946;1567294;1614612;0.078;0.018479895;0.30600002;0.573;0.56;0.91999996;61;4;4.6590004;-3.325;-3.2640002;-0.30400002;3.9167986;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
687985960;0;1,68216E+15;11141125;469474704;87124708;1567361;1614679;0.080000006;0.0153906625;0.307;0.574;0.56;0.91999996;61;4;5.6600003;-4.037;-3.9670002;-0.17;3.921578;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
688492133;0;1,68216E+15;11141125;469474507;87124417;1567415;1614733;0.079;0.013374458;0.307;0.574;0.56;0.91999996;61;4;6.8230004;-4.769;-4.879;-0.238;3.938304;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
688988664;0;1,68216E+15;11141125;469474271;87124065;1567504;1614822;0.076000005;0.011021929;0.307;0.574;0.56;0.91999996;61;3;8.186001;-5.7120004;-5.8640003;-0.36600003;3.9401114;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
689492142;0;1,68216E+15;11141125;469473989;87123644;1567606;1614923;0.079;0.009299812;0.307;0.574;0.56;0.91999996;61;3;9.776;-6.8310003;-6.9930005;-0.264;3.9386892;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
689988179;0;1,68216E+15;11141125;469473657;87123150;1567683;1615000;0.078;0.007723954;0.30800003;0.574;0.56;0.91999996;61;3;11.335001;-7.945;-8.084001;-0.30900002;3.9356558;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
690493980;0;1,68216E+15;11141125;469473276;87122586;1567734;1615052;0.079;0.006893701;0.30800003;0.574;0.56;0.91999996;61;3;12.844001;-9.036;-9.127001;-0.282;3.9319634;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
690989940;0;1,68216E+15;11141125;469472847;87121955;1567808;1615125;0.080000006;0.006240948;0.30800003;0.574;0.56;0.91999996;61;4;14.331;-10.141001;-10.126;-0.22100002;3.926235;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
691495448;0;1,68216E+15;11141125;469472355;87121247;1567822;1615139;0.079;0.005320287;0.30800003;0.574;0.56;0.91999996;61;4;16.528;-11.844001;-11.528001;-0.13100001;3.9134989;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
691988136;0;1,68216E+15;11141125;469471765;87120432;1567717;1615035;0.080000006;0.0044912556;0.30800003;0.574;0.56;0.91999996;61;3;19.719002;-14.468;-13.399;0.5;3.8886218;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
692498860;0;1,68216E+15;11141125;469471071;87119512;1566429;1613747;0.09;0.00441481;0.30900002;0.574;0.56;0.91999996;61;3;21.516;-16.011002;-14.374001;4.5470004;3.8731682;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
692981760;0;1,68216E+15;11141125;469470345;87118524;1564216;1611534;0.091000006;0.004293859;0.30900002;0.57500005;0.56;0.91999996;61;5;22.508001;-16.061;-15.769001;3.019;3.9178355;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
693495763;0;1,68216E+15;11141125;469469632;87117469;1563284;1610601;0.085;0.004140619;0.31;0.57600003;0.56;0.91999996;61;5;22.562;-15.623001;-16.278;0.882;3.9475362;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
693988164;0;1,68216E+15;11141125;469468944;87116399;1563234;1610551;0.08400001;0.003998724;0.31100002;0.57600003;0.56;0.91999996;61;3;22.187;-15.056001;-16.298;-0.53800005;3.9665787;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
